game_id,player,board1,board2,action,result
0,1,0,0,3,2
0,1,274877906944,549755813888,3,2
0,1,277025390592,549772591104,3,2
0,1,277025521664,554067558400,4,2
0,1,277059076096,554067820544,1,2
0,1,345778552832,691506774016,1,2
0,1,346315423744,2890530029568,6,2
0,1,363495292928,2890534223872,4,2
0,1,363495294976,2890668441600,5,2
0,1,1463006922752,2890668474368,1,2
0,1,1463006923008,2890668475392,1,2
0,1,1463006923010,2899258409984,4,2
0,1,1463006923026,2899258409992,5,2
0,1,1463074031890,2899258934280,5,2
0,1,1463074035986,2899258934312,2,2
0,1,1464147777810,2899267322920,6,2
0,1,1464148826386,2899267331112,6,2
0,1,1464148826450,2899267396648,2,2
0,2,274877906944,0,4,0
0,2,277025390592,549755813888,3,0
0,2,277025521664,549772591104,4,0
0,2,277059076096,554067558400,4,0
0,2,345778552832,554067820544,2,0
0,2,346315423744,691506774016,6,0
0,2,363495292928,2890530029568,1,0
0,2,363495294976,2890534223872,6,0
0,2,1463006922752,2890668441600,1,0
0,2,1463006923008,2890668474368,3,0
0,2,1463006923010,2890668475392,5,0
0,2,1463006923026,2899258409984,3,0
0,2,1463074031890,2899258409992,5,0
0,2,1463074035986,2899258934280,5,0
0,2,1464147777810,2899258934312,2,0
0,2,1464148826386,2899267322920,6,0
0,2,1464148826450,2899267331112,2,0
1,1,0,0,3,1
1,1,274877906944,2147483648,2,1
1,1,412316860416,70866960384,2,1
1,1,413390602240,70875348992,3,1
1,1,413407379456,70875480064,1,1
1,1,413944250368,620631293952,2,1
1,1,413944315904,624926261248,4,1
1,1,413977870336,624926262272,4,1
1,1,413978132480,624926264320,2,1
1,1,413978132992,624926264328,0,1
1,1,448337871360,625194699784,5,1
1,1,1547849499136,633784634376,4,1
1,1,1547849499152,633851743240,2,1
1,1,1547849499156,633853840392,0,1
1,1,1547849515540,633858034696,1,1
1,1,1547849548308,633858034824,1,1
1,1,1547849548564,633858034825,1,1
1,1,1547849548566,2832881290377,6,1
1,1,1565029417750,2833015508105,5,1
1,1,1565029942038,2833015512201,5,1
1,1,1565029942070,2833016560777,6,1
1,2,274877906944,0,3,1
1,2,412316860416,2147483648,1,1
1,2,413390602240,70866960384,2,1
1,2,413407379456,70875348992,3,1
1,2,413944250368,70875480064,4,1
1,2,413944315904,620631293952,4,1
1,2,413977870336,624926261248,3,1
1,2,413978132480,624926262272,4,1
1,2,413978132992,624926264320,3,1
1,2,448337871360,624926264328,0,1
1,2,1547849499136,625194699784,5,1
1,2,1547849499152,633784634376,5,1
1,2,1547849499156,633851743240,0,1
1,2,1547849515540,633853840392,1,1
1,2,1547849548308,633858034696,0,1
1,2,1547849548564,633858034824,0,1
1,2,1547849548566,633858034825,6,1
1,2,1565029417750,2832881290377,6,1
1,2,1565029942038,2833015508105,5,1
1,2,1565029942070,2833015512201,6,1
1,2,1565029950262,2833016560777,6,1
2,1,0,0,4,2
2,1,549755813888,274877906944,3,2
2,1,551903297536,274894684160,4,2
2,1,556198264832,274928238592,3,2
2,1,556198395904,343647715328,4,2
2,1,556198658048,344184586240,1,2
2,1,556202852352,344184619008,3,2
