game_id,player,board1,board2,action,result
7,1,417702478336,620664783872,4,0
7,1,417702740480,620664783880,0,0
7,1,452062478848,620933219336,4,0
7,1,452062480896,621470090248,2,0
7,2,274877906944,0,3,2
7,2,412316860416,2147483648,1,2
7,2,413390602240,70866960384,2,2
7,2,413407379456,70875348992,2,2
7,2,413407510528,70875414528,4,2
7,2,413407511040,620631228416,3,2
7,2,417702478336,620631229440,4,2
7,2,417702740480,620664783872,3,2
7,2,452062478848,620664783880,0,2
7,2,452062480896,620933219336,1,2
7,2,452062480900,621470090248,1,2
8,1,0,0,3,0
8,1,274877906944,2147483648,2,0
8,1,412316860416,551903297536,3,0
8,1,412333637632,556198264832,2,0
8,1,413407379456,556206653440,4,0
8,1,413440933888,624926130176,3,0
8,1,413441064960,624926131200,4,0
8,1,413441327104,624926196736,2,0
8,1,413441327616,624926198784,4,0
8,1,413441327632,624926198792,1,0
8,1,413978198544,2823949454344,6,0
8,1,431158067728,2824083672072,5,0
8,1,1530669695504,2832673606664,6,0
8,1,1530670744080,2832673606668,0,0
8,1,1565030482448,2832942042124,1,0
8,2,274877906944,0,3,2
8,2,412316860416,2147483648,4,2
8,2,412333637632,551903297536,4,2
8,2,413407379456,556198264832,2,2
8,2,413440933888,556206653440,1,2
8,2,413441064960,624926130176,3,2
8,2,413441327104,624926131200,2,2
8,2,413441327616,624926196736,4,2
8,2,413441327632,624926198784,3,2
8,2,413978198544,624926198792,6,2
8,2,431158067728,2823949454344,6,2
8,2,1530669695504,2824083672072,5,2
8,2,1530670744080,2832673606664,2,2
8,2,1565030482448,2832673606668,0,2
8,2,1565034676752,2832942042124,1,2
9,1,0,0,3,1
9,1,274877906944,137438953472,3,1
9,1,277025390592,137455730688,3,1
9,1,277025521664,2336478986240,2,1
9,1,278099263488,2336487374848,2,1
9,1,278099329024,2353667244032,6,1
9,1,278233546752,2353667245056,6,1
9,1,278234595328,2353667253248,2,1
9,1,278234595840,2353667253312,3,1
9,1,278234595848,2353667253316,0,1
9,1,312594334216,2353935688772,0,1
9,1,312596431368,2353935705156,1,1
9,1,381315908104,2354472576068,0,1
9,1,381315908232,2354472576069,1,1
9,1,381320102536,2354472608837,5,1
9,1,1480831730312,2363062543429,5,1
9,1,1480898839176,2363063067717,5,1
9,1,1480898843272,2363063067749,4,1
9,1,2030654657160,2367358035045,4,1
9,1,2030688211592,2367358297189,1,1
9,1,2030688211848,2367358297191,4,1
9,2,274877906944,0,2,1
9,2,277025390592,137438953472,3,1
9,2,277025521664,137455730688,6,1
9,2,278099263488,2336478986240,2,1
9,2,278099329024,2336487374848,6,1
9,2,278233546752,2353667244032,3,1
9,2,278234595328,2353667245056,6,1
9,2,278234595840,2353667253248,6,1
9,2,278234595848,2353667253312,2,1
9,2,312594334216,2353667253316,0,1
9,2,312596431368,2353935688772,0,1
9,2,381315908104,2353935705156,1,1
9,2,381315908232,2354472576068,0,1
9,2,381320102536,2354472576069,1,1
9,2,1480831730312,2354472608837,5,1
9,2,1480898839176,2363062543429,5,1
9,2,1480898843272,2363063067717,5,1
9,2,2030654657160,2363063067749,4,1
9,2,2030688211592,2367358035045,4,1
9,2,2030688211848,2367358297189,1,1
9,2,2030688213896,2367358297191,4,1
